genome_id	assembly_accession	sra_accession
573.13201		SRR5385635
573.13202		SRR5385634
573.13203		SRR5385633
573.13204		SRR5385632
573.13205		SRR5385631
573.13206		SRR5385630
573.13207		SRR5385629
573.13208		SRR5385628
573.13209		SRR5385627
573.13210		SRR5385626
573.13211		SRR5385625
573.13212		SRR5385624
573.13213		SRR5385623
573.13214		SRR5385622
573.13215		SRR5385621
573.13216		SRR5386988
573.13217		SRR5386987
573.13218		SRR5386985
573.13219		SRR5386984
573.13220		SRR5386858
573.13221		SRR5386983
573.13222		SRR5386982
573.13223		SRR5386807
573.13224		SRR5386981
573.13225		SRR5386980
573.13226		SRR5386979
573.13227		SRR5386978
573.13228		SRR5386977
573.13229		SRR5386976
573.13230		SRR5386458
573.13231		SRR5386975
573.13232		SRR5386974
573.13233		SRR5386972
573.13234		SRR5386971
573.13235		SRR5386970
573.13236		SRR5386969
573.13237		SRR5386968
573.13238		SRR5386457
573.13239		SRR5386967
573.13240		SRR5386966
573.13241		SRR5386965
573.13242		SRR5386964
573.13243		SRR5386963
573.13244		SRR5386962
573.13245		SRR5386960
573.13246		SRR5386959
573.13247		SRR5386958
573.13248		SRR5386456
573.13249		SRR5386957
573.13250		SRR5386956
573.13251		SRR5386955
573.13252		SRR5386954
573.13253		SRR5386953
573.13254		SRR5386952
573.13255		SRR5386951
573.13256		SRR5386950
573.13257		SRR5386949
573.13258		SRR5386948
573.13259		SRR5386947
573.13260		SRR5386946
573.13261		SRR5386945
573.13262		SRR5386944
573.13263		SRR5386943
573.13264		SRR5386942
573.13265		SRR5386941
573.13266		SRR5386454
573.13267		SRR5386453
573.13268		SRR5386940
573.13269		SRR5386939
573.13270		SRR5386938
573.13271		SRR5386936
573.13272		SRR5386934
573.13273		SRR5386932
573.13274		SRR5386452
573.13275		SRR5386930
573.13276		SRR5386929
573.13277		SRR5386927
573.13278		SRR5386926
573.13279		SRR5386925
573.13280		SRR5386924
573.13281		SRR5386451
573.13282		SRR5386853
573.13283		SRR5386852
573.13284		SRR5386851
573.13285		SRR5386850
573.13286		SRR5386849
573.13287		SRR5386848
573.13288		SRR5386847
573.13289		SRR5386846
573.13290		SRR5386450
573.13291		SRR5386845
573.13292		SRR5386844
573.13293		SRR5386843
573.13294		SRR5386842
573.13295		SRR5386841
573.13296		SRR5386840
573.13297		SRR5386839
573.13298		SRR5386838
573.13299		SRR5386837
573.13300		SRR5386449
573.13301		SRR5386835
573.13302		SRR5386834
573.13303		SRR5386833
573.13304		SRR5386831
573.13305		SRR5386830
573.13306		SRR5386829
573.13307		SRR5386828
573.13308		SRR5386827
573.13309		SRR5386826
573.13310		SRR5386448
573.13311		SRR5386825
573.13312		SRR5386823
573.13313		SRR5386821
573.13314		SRR5386820
573.13315		SRR5386819
573.13316		SRR5386818
573.13317		SRR5386817
573.13318		SRR5386815
573.13319		SRR5386814
573.13321		SRR5386812
573.13322		SRR5386811
573.13323		SRR5386810
573.13324		SRR5386806
573.13325		SRR5386809
573.13326		SRR5386803
573.13327		SRR5386802
573.13328		SRR5386799
573.13329		SRR5386798
573.13330		SRR5386797
573.13331		SRR5386796
573.13332		SRR5386795
573.13333		SRR5386794
573.13334		SRR5386793
573.13335		SRR5386792
573.13336		SRR5386791
573.13338		SRR5386789
573.13340		SRR5386787
573.13341		SRR5386785
573.13342		SRR5386783
573.13343		SRR5386784
573.13344		SRR5386782
573.13345		SRR5386443
573.13346		SRR5386780
573.13347		SRR5386778
573.13348		SRR5386777
573.13349		SRR5386776
573.13350		SRR5386775
573.13351		SRR5386774
573.13352		SRR5386772
573.13353		SRR5386442
573.13354		SRR5386771
573.13355		SRR5386770
573.13356		SRR5386769
573.13357		SRR5386768
573.13358		SRR5386767
573.13359		SRR5386766
573.13360		SRR5386765
573.13361		SRR5386441
573.13362		SRR5386762
573.13363		SRR5386761
573.13364		SRR5386760
573.13365		SRR5386759
573.13366		SRR5386758
573.13367		SRR5386757
573.13368		SRR5386756
573.13369		SRR5386755
573.13370		SRR5386754
573.13371		SRR5386440
573.13372		SRR5386753
573.13373		SRR5386752
573.13374		SRR5386751
573.13375		SRR5386750
573.13376		SRR5386749
573.13377		SRR5386748
573.13378		SRR5386746
573.13379		SRR5386745
573.13380		SRR5386744
573.13381		SRR5386439
573.13382		SRR5386743
573.13383		SRR5386742
573.13384		SRR5386740
573.13385		SRR5386739
573.13386		SRR5386724
573.13387		SRR5386723
573.13388		SRR5386722
573.13389		SRR5386721
573.13390		SRR5386720
573.13391		SRR5386438
573.13392		SRR5386719
573.13393		SRR5386718
573.13394		SRR5386716
573.13395		SRR5386715
573.13396		SRR5386714
573.13397		SRR5386713
573.13398		SRR5386711
573.13399		SRR5386437
573.13400		SRR5386710
573.13401		SRR5386709
573.13402		SRR5386706
573.13403		SRR5386708
573.13404		SRR5386705
573.13405		SRR5386703
573.13406		SRR5386701
573.13407		SRR5386436
573.13408		SRR5386700
573.13409		SRR5386699
573.13411		SRR5386697
573.13412		SRR5386696
573.13413		SRR5386695
573.13414		SRR5386694
573.13415		SRR5386692
573.13416		SRR5386693
573.13417		SRR5386702
573.13418		SRR5386435
573.13419		SRR5386690
573.13420		SRR5386689
573.13422		SRR5386686
573.13424		SRR5386687
573.13425		SRR5386684
573.13426		SRR5386683
573.13427		SRR5386682
573.13428		SRR5386681
573.13429		SRR5386680
573.13430		SRR5386679
573.13431		SRR5386678
573.13432		SRR5386677
573.13433		SRR5386676
573.13434		SRR5386675
573.13435		SRR5386674
573.13436		SRR5386673
573.13437		SRR5386672
573.13438		SRR5386671
573.13440		SRR5386668
573.13441		SRR5386666
573.13442		SRR5386665
573.13443		SRR5386664
573.13444		SRR5386662
573.13445		SRR5386661
573.13446		SRR5386660
573.13447		SRR5386659
573.13448		SRR5386658
573.13449		SRR5386657
573.13450		SRR5386656
573.13451		SRR5386655
573.13452		SRR5386433
573.13453		SRR5386654
573.13454		SRR5386653
573.13455		SRR5386652
573.13456		SRR5386651
573.13457		SRR5386649
573.13458		SRR5386648
573.13459		SRR5386647
573.13460		SRR5386646
573.13461		SRR5386645
573.13462		SRR5386644
